mid,display_name,index
/m/09x0r,Speech,20
/m/05zppz,"Male speech, man speaking",515
/m/02zsn,"Female speech, woman speaking",522
/m/0ytgt,"Child speech, kid speaking",429
/m/01h8n0,Conversation,404
/m/02qldy,"Narration, monologue",520
/m/0261r1,Babbling,284
/m/0brhx,Speech synthesizer,151
/m/07p6fty,Shout,344
/m/07q4ntr,Bellow,18
/m/07rwj3x,Whoop,19
/m/07sr1lc,Yell,50
/m/04gy_2,Battle cry,334
/t/dd00135,Children shouting,433
/m/03qc9zr,Screaming,34
/m/02rtxlg,Whispering,413
/m/01j3sz,Laughter,472
/t/dd00001,Baby laughter,473
/m/07r660_,Giggle,244
/m/07s04w4,Snicker,155
/m/07sq110,Belly laugh,245
/m/07rgt08,"Chuckle, chortle",242
/m/0463cq4,"Crying, sobbing",498
/t/dd00002,"Baby cry, infant cry",395
/m/07qz6j3,Whimper,81
/m/07qw_06,"Wail, moan",431
/m/07plz5l,Sigh,62
/m/015lz1,Singing,49
/m/0l14jd,Choir,290
/m/01swy6,Yodeling,443
/m/02bk07,Chant,265
/m/01c194,Mantra,411
/t/dd00003,Male singing,64
/t/dd00004,Female singing,191
/t/dd00005,Child singing,320
/t/dd00006,Synthetic singing,438
/m/06bxc,Rapping,493
/m/02fxyj,Humming,430
/m/07s2xch,Groan,410
/m/07r4k75,Grunt,323
/m/01w250,Whistling,393
/m/0lyf6,Breathing,310
/m/07mzm6,Wheeze,285
/m/01d3sd,Snoring,477
/m/07s0dtb,Gasp,466
/m/07pyy8b,Pant,158
/m/07q0yl5,Snort,170
/m/01b_21,Cough,156
/m/0dl9sf8,Throat clearing,141
/m/01hsr_,Sneeze,213
/m/07ppn3j,Sniff,526
/m/06h7j,Run,405
/m/07qv_x_,Shuffle,391
/m/07pbtc8,"Walk, footsteps",185
/m/03cczk,"Chewing, mastication",357
/m/07pdhp0,Biting,491
/m/0939n_,Gargling,383
/m/01g90h,Stomach rumble,456
/m/03q5_w,"Burping, eructation",122
/m/02p3nc,Hiccup,506
/m/02_nn,Fart,134
/m/0k65p,Hands,470
/m/025_jnm,Finger snapping,90
/m/0l15bq,Clapping,449
/m/01jg02,"Heart sounds, heartbeat",86
/m/01jg1z,Heart murmur,234
/m/053hz1,Cheering,485
/m/028ght,Applause,483
/m/07rkbfh,Chatter,94
/m/03qtwd,Crowd,198
/m/07qfr4h,"Hubbub, speech noise, speech babble",199
/t/dd00013,Children playing,271
/m/0jbk,Animal,61
/m/068hy,"Domestic animals, pets",148
/m/0bt9lr,Dog,149
/m/05tny_,Bark,339
/m/07r_k2n,Yip,487
/m/07qf0zm,Howl,480
/m/07rc7d9,Bow-wow,488
/m/0ghcn6,Growling,400
/t/dd00136,Whimper (dog),150
/m/01yrx,Cat,335
/m/02yds9,Purr,221
/m/07qrkrw,Meow,336
/m/07rjwbb,Hiss,1
/m/07r81j2,Caterwaul,277
/m/0ch8v,"Livestock, farm animals, working animals",60
/m/03k3r,Horse,308
/m/07rv9rh,Clip-clop,186
/m/07q5rw0,"Neigh, whinny",287
/m/01xq0k1,"Cattle, bovinae",222
/m/07rpkh9,Moo,223
/m/0239kh,Cowbell,40
/m/068zj,Pig,382
/t/dd00018,Oink,181
/m/03fwl,Goat,59
/m/07q0h5t,Bleat,268
/m/07bgp,Sheep,267
/m/025rv6n,Fowl,162
/m/09b5t,"Chicken, rooster",164
/m/07st89h,Cluck,163
/m/07qn5dc,"Crowing, cock-a-doodle-doo",427
/m/01rd7k,Turkey,348
/m/07svc2k,Gobble,349
/m/09ddx,Duck,299
/m/07qdb04,Quack,423
/m/0dbvp,Goose,300
/m/07qwf61,Honk,321
/m/01280g,Wild animals,371
/m/0cdnk,"Roaring cats (lions, tigers)",458
/m/04cvmfc,Roar,257
/m/015p6,Bird,171
/m/020bb7,"Bird vocalization, bird call, bird song",139
/m/07pggtn,"Chirp, tweet",172
/m/07sx8x_,Squawk,478
/m/0h0rv,"Pigeon, dove",370
/m/07r_25d,Coo,369
/m/04s8yn,Crow,216
/m/07r5c2p,Caw,217
/m/09d5_,Owl,43
/m/07r_80w,Hoot,42
/m/05_wcq,"Bird flight, flapping wings",459
/m/01z5f,"Canidae, dogs, wolves",157
/m/06hps,"Rodents, rats, mice",324
/m/04rmv,Mouse,251
/m/07r4gkf,Patter,255
/m/03vt0,Insect,142
